makeid,modelid,manufacturerid,VIN,batteryinfo,batterytype,bedtype,bodycabtype,bodyclass,enginecylinders,destinationmarket,displacementcc,displacementci,displacementl,doors,drivetype,driverassist,enginecycles,enginemodel,enginekw,entertainmentsystem,fueltypeprimary,gvwr,make,manufacturer,model,modelyear,plantcity,seats,series,steeringlocation,transmissionstyle,trim,vehicletype,windows,axles,brakesystemtype,batterycells,bedlengthin,brakesystemdesc,curbweightlb,airbagloccurtain,airbaglocseatcushion,batterya,batteryv,batterykwh,wheelbasetype,seatrows,valvetraindesign,transmissionspeeds,engineconfiguration,airbaglocfront,fueltypesecondary,fuelinjectiontype,airbaglocknee,enginehp,evdriveunit,plantcountry,plantcompanyname,plantstate,pretensioner,seatbeltsall,adaptivecruisecontrol,adaptiveheadlights,abs,cib,blindspotmon,ncsabodytype,ncsamake,ncsamodel,esc,tractioncontrol,forwardcollisionwarning,lanedeparturewarning,lanekeepsystem,rearvisibilitysystem,parkassist,airbaglocside,trim2,series2,wheelbaseshort,wheelbaselong,note,wheels,trailertype,trailerbodytype,trailerlength,wheelsizefront,wheelsizerear,otherrestraintsysteminfo,coolingtype,enginehp_to,electrificationlevel,chargerlevel,chargerpowerkw,otherengineinfo,batterya_to,batteryv_to,batterykwh_to,turbo,baseprice,batterymodules,batterypacks,topspeedmph,suggestedvin,errorcode,possiblevalues,axleconfiguration,enginemanufacturer,buslength,busfloorconfigtype,bustype,otherbusinfo,custommotorcycletype,motorcyclesuspensiontype,motorcyclechassistype,othermotorcycleinfo,othertrailerinfo,additionalerrortext,cashforclunkers,trackwidth,tpms,activesafetysysnote,dynamicbrakesupport,pedestrianautomaticemergencybraking,autoreversesystem,automaticpedestrianalertingsound,can_aacn,edr,keylessignition,daytimerunninglight,lowerbeamheadlamplightsource,semiautomaticheadlampbeamswitching,adaptivedrivingbeam,saeautomationlevel,saeautomationlevel_to,rearcrosstrafficalert,gcwr,gcwr_to,ncsanote,ncsamappingexception,ncsamapexcapprovedon,ncsamapexcapprovedby,gvwr_to,errortext,rearautomaticemergencybraking,blindspotintervention,lanecenteringassistance,nonlanduse,vehicledescriptor
474,1865,987,JHLRD68424C0,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,2359.73722,144,2.35973722,5,FWD/Front-Wheel Drive,,,K24A1,,,Gasoline,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",HONDA,"HONDA MOTOR CO., LTD.",CR-V,2004,SAYAMA,,,,Automatic,LX,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,,,,,,,,Dual Overhead Cam (DOHC),4,In-Line,1st Row (Driver and Passenger),,,,160,,JAPAN,,SAITAMA,,Manual,,,Optional,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,JHLRD684*4C
460,1801,976,1FTRW08L73KA,,,,Crew/Super Crew/Crew Max,Pickup,8,,5400,329.528218,5.4,,4WD/4-Wheel Drive/4x4,,,,,,Gasoline,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",FORD,FORD MOTOR COMPANY,F-150,2003,KANSAS CITY,,F-Series,,,,TRUCK,,,Hydraulic,,,,,,,,,,,,Single Overhead Cam (SOHC),,V-Shaped,1st Row (Driver and Passenger),,,,260,,UNITED STATES (USA),Kansas City,MISSOURI,,Manual,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,Ford,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1FTRW08L*3K
467,8834,984,1G1JC52FX473,,,Not Applicable,Not Applicable,Sedan/Saloon,4,,2200,134.252237,2.2,4,,,,L61,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",CHEVROLET,GENERAL MOTORS LLC,Cavalier,2004,LORDSTOWN,,,,,,PASSENGER CAR,4,,,,,,,,,,,,,,Dual Overhead Cam (DOHC),,In-Line,1st Row (Driver and Passenger),,Multipoint Fuel Injection (MPFI),,170,,UNITED STATES (USA),NA-GM Corp,OHIO,,Manual,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,"Name Plate: Chevrolet, Pontiac, Saturn, Oldsmobile",,,,,,,,,,6,,,GM,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,1G1JC52F*47
467,4548,984,1GNDT13S8821,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),6,,4200,256.299725,4.2,4,4WD/4-Wheel Drive/4x4,,,LL8,,,Gasoline,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",CHEVROLET,GENERAL MOTORS LLC,Trailblazer,2008,MORAINE,,1/2 Ton,,,Work Truck/Fleet/Value Leader,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,,,,,,,,Dual Overhead Cam (DOHC),,In-Line,,,Multipoint Fuel Injection (MPFI),,,,UNITED STATES (USA),GM Truck Group,OHIO,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,Water,,,,,"MFI, DOHC, Aluminium",,,,,,,,,,6,,,GM,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1GNDT13S*82
474,1869,988,5FNRL5H61BB0,,,,,Minivan,6,,3474.05757,212,3.47405757,5,,,,J35Z8,,,Gasoline,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",HONDA,"AMERICAN HONDA MOTOR CO., INC.",Odyssey,2011,LINCOLN,,,,Automatic,EXL/ EXL-NAVI/ EXL-RES,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,,1st and 2nd and 3rd Rows,,,,,,,Single Overhead Cam (SOHC),5,V-Shaped,1st Row (Driver and Passenger),,,,248,,UNITED STATES (USA),,ALABAMA,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,5FNRL5H6*BB
475,5063,987,JH4DC4349TS0,,,Not Applicable,Not Applicable,Hatchback/Liftback/Notchback,,,1800,109.842739,1.8,3,,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",ACURA,"HONDA MOTOR CO., LTD.",Integra,1996,SUZUKA,,,,Manual/Standard,RS,PASSENGER CAR,,,,,,,,,,,,,,,,,,,,,,,,JAPAN,,MIE,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,JH4DC434*TS
591,30483,1134,3JBKKPP16DJ0,,,Not Applicable,Not Applicable,Off-road Vehicle - Multipurpose Off-Highway Utility Vehicle [MOHUV] or Recreational Off-Highway Vehicle [ROV],2,Other Export Market (BUX),976,59.5591742,0.976,,,,4,,,,Gasoline,"Class 1A: 3,000 lb or less (1,360 kg or less)",CAN-AM,BOMBARDIER RECREATIONAL PRODUCTS INC,Commander,2013,JAUREZ,,Camo,,,XT/XT-P/MOS,MOTORCYCLE,,,,,,,,,,,,,,,Single Overhead Cam (SOHC),,V-Shaped,,,,,,,MEXICO,,,,,Not Applicable,,,Not Applicable,Not Applicable,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,"6,10",,,,,Not Applicable,Not Applicable,,Side-by-Side Seating,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,,,,,,,,6 - Incomplete VIN; 10 - Off-road Vehicle Warning – This is not a vehicle identification number (VIN) for a motor vehicle. This indicates that the manufacturer did not certify this product as complying with the Federal motor vehicle safety standards which are applicable to motor vehicles as defined at 49 U.S.C. 30102.,,,,,3JBKKPP1*DJ
474,1861,988,1HGCP2F32AA1,,,Not Applicable,Not Applicable,Sedan/Saloon,4,,2359.73722,144,2.35973722,4,,,,K24Z2,,,Gasoline,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",HONDA,"AMERICAN HONDA MOTOR CO., INC.",Accord,2010,MARYSVILLE,,,,Automatic,LX,PASSENGER CAR,,,,,,,,All Rows,,,,,,,Dual Overhead Cam (DOHC),5,In-Line,1st Row (Driver and Passenger),,,,177,,UNITED STATES (USA),,OHIO,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,Rear Restraint System: Seat Belt & Side Curtain Air bag (Rr outer positions) / Seat Belt (Rr center position).,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,1HGCP2F3*AA
460,1800,976,1FMZU34E2XZB,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),6,,4000,244.094976,4,4,,,,,,,Gasoline,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",FORD,FORD MOTOR COMPANY,Explorer,1999,HAZELWOOD (ST. LOUIS),,,,,XL,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,,,,,,,,,Single Overhead Cam (SOHC),,V-Shaped,,,,,210,,UNITED STATES (USA),,MISSOURI,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,2nd gen front airbag,,,,,,SEFI: Sequential Electronic Fuel Injection,,,,,,,,,,6,,,Ford,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1FMZU34E*XZ
467,10978,984,2GCEC19K5L12,,,,Extra/Super/Quad/Double/King/Extended,Pickup,8,,5700,347.835341,5.7,,4x2,,,,,,Gasoline,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",CHEVROLET,GENERAL MOTORS LLC,GMT-400,1990,OSHAWA TRUCK,,1/2 Ton Nominal,,,,TRUCK,,,Hydraulic,,,,,,,,,,,,,,V-Shaped,,,Throttle Body Fuel Injection (TBI),,,,CANADA,NA-Canada - Truck,ONTARIO,,,,,,,,,,,,,,,,,,,,Conventional Cab,,,,,Not Applicable,Not Applicable,,,,,,,,,,LPG conversion can be accomplished on the engine.,,,,,,,,,,6,,,CPC,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,2GCEC19K*L1
469,1824,984,1G6AA5RX2D01,,,Not Applicable,Not Applicable,Sedan/Saloon,4,,2000,122.047488,2,4,RWD/Rear-Wheel Drive,,,LTG,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",CADILLAC,GENERAL MOTORS LLC,ATS,2013,LANSING - GRAND RIVER,,,,,Standard,PASSENGER CAR,4,,,,,,,All Rows,,,,,,,Dual Overhead Cam (DOHC),,In-Line,1st Row (Driver and Passenger),Flexible Fuel Vehicle (FFV),Stoichiometric Gasoline Direct Injection (SGDI),1st Row (Driver and Passenger),,,UNITED STATES (USA),GMNA,MICHIGAN,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,Body type: 4Dr Sedan Notchback,,Not Applicable,Not Applicable,,,,,,,,,,,,,,Yes,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,1G6AA5RX*D0
472,11488,984,1GKGV26K4LF5,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),8,,5700,347.835341,5.7,,4WD/4-Wheel Drive/4x4,,,,,,Gasoline,"Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)",GMC,GENERAL MOTORS LLC,Suburban,1990,FLINT,,3/4 Ton Nominal,,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,,,,,,,,,,V-Shaped,,,Throttle Body Fuel Injection (TBI),,,,UNITED STATES (USA),NA - Truck Platform,MICHIGAN,,,,,,,,,,,,,,,,,,,,Conventional Cab,,,,,Not Applicable,Not Applicable,,,,,,,,,,LPG conversion can be accomplished on the engine.,,,,,,,,,,6,,,CPC,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1GKGV26K*LF
498,2459,15984,KMHWF35H92A5,,,Not Applicable,Not Applicable,Sedan/Saloon,6,,2700,164.764109,2.7,4,,,,EF,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",HYUNDAI,HYUNDAI MOTOR CO,Sonata,2002,ASAN,,"Super Deluxe (GLS, LS, LX or GS)",,,,PASSENGER CAR,,,,,,,,,,,,,,,,,V-Shaped,1st Row (Driver and Passenger),,,,170,,SOUTH KOREA,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,Depowered Airbags,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,KMHWF35H*2A
478,1919,997,1N6BD0CT8DN7,,,,Extra/Super/Quad/Double/King/Extended,Pickup,,,2500,152.55936,2.5,,4x2,,,,,,Gasoline,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",NISSAN,"NISSAN NORTH AMERICA, INC.",Frontier,2013,CANTON,,,,,,TRUCK,,,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,UNITED STATES (USA),Canton Plant,MISSISSIPPI,,Manual,,,Standard,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,4,Not Applicable,Not Applicable,,,,"3-point manual belts, 2nd row outboard 3-point manual belts and curtain side airbags",,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1N6BD0CT*DN
472,1857,984,2GTEC19T2Y12,,,,Extra/Super/Quad/Double/King/Extended,Pickup,8,,5300,323.425844,5.3,,4x2,,,LM7,,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",GMC,GENERAL MOTORS LLC,Sierra,2000,OSHAWA TRUCK,,1500 (1/2 Ton),,,,TRUCK,,,Hydraulic,,,,,,,,,,,,,,V-Shaped,,,Multipoint Fuel Injection (MPFI),,,,CANADA,NA-Canada - Truck,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,Iron,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,2GTEC19T*Y1
448,2827,1087,5TDZT34A83S1,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),8,,4663,284.55,4.7,5,4x2,,4,2UZ-FE,,,Gasoline,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",TOYOTA,"TOYOTA MOTOR MANUFACTURING, INDIANA, INC.",Sequoia,2003,PRINCETON,,UCK35L,,,SR5,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,,,,,,,,,Dual Overhead Cam (DOHC),,V-Shaped,,,Sequential Fuel Injection (SFI),,273,,UNITED STATES (USA),"Toyota Motor Manufacturing, Indiana, Inc.",INDIANA,,,,,,,,,,,,,,,,,,,,Wagon Body type,,,,,Not Applicable,Not Applicable,,,,,Water,284,,,,,,,,,,,,,,6,,,Toyota,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,5TDZT34A*3S
474,1863,990,2HGFB2F99DH5,,,Not Applicable,Not Applicable,Sedan/Saloon,4,,1802.57704,110,1.80257704,4,FWD/Front-Wheel Drive,,,R18Z1,,,Gasoline,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",HONDA,"HONDA OF CANADA MFG., INC.",Civic,2013,ALLISTON,,,,Automatic,EX-L,PASSENGER CAR,,,,,,,2756,1st and 2nd Rows,,,,,,,Single Overhead Cam (SOHC),5,In-Line,1st Row (Driver and Passenger),,,,140,,CANADA,,ONTARIO,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,"seat belts: front, rear, rear center",,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,2HGFB2F9*DH
468,1841,984,5GAKRBKD1FJ1,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),6,,3600,219.685479,3.6,4,FWD/Front-Wheel Drive,,,LLT,,,Gasoline,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",BUICK,GENERAL MOTORS LLC,Enclave,2015,LANSING - DELTA TOWNSHIP,,,,,Leather,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,All Rows,,,,,,,Dual Overhead Cam (DOHC),,V-Shaped,1st Row (Driver and Passenger),,Stoichiometric Gasoline Direct Injection (SGDI),,,,UNITED STATES (USA),GMNA,MICHIGAN,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,Engines listed as flexible fuel do not necessarily mean the vehicle is equipped for flexible fuel.,,Not Applicable,Not Applicable,,,,Front Inboard Seat Side,,,,,,,,,,,,,,,,6,,,GM,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,5GAKRBKD*FJ
460,2379,976,1FMZK05125GA,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),6,,3000,183.071232,3,4,AWD/All-Wheel Drive,,,,,,Gasoline,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",FORD,FORD MOTOR COMPANY,Freestyle,2005,CHICAGO,,SEL,,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,,,,,,,,,,V-Shaped,1st Row (Driver and Passenger),,,,203,,UNITED STATES (USA),,ILLINOIS,,Manual,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,Sec. Gen. Air Bags,,,,,,Duratec,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1FMZK051*5G
469,1843,984,1GYS3GEF3DR1,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),8,,6200,378.347213,6.2,4,4x2,,,L94 - Flex Fuel(Gas/ALC). ALUM Cylinder Deactivation,,,Gasoline,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",CADILLAC,GENERAL MOTORS LLC,Escalade,2013,ARLINGTON,,,,,ESV Base,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,All Rows,,,,,,,,,,1st Row (Driver and Passenger),,Sequential Fuel Injection (SFI),,,,UNITED STATES (USA),GMNA,TEXAS,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1GYS3GEF*DR
564,30328,1130,MH3RH06Y6FA0,,,Not Applicable,Not Applicable,Motorcycle - Sport,2,California,321,19.5886219,0.321,,,,4,,,,Gasoline,"Class 1A: 3,000 lb or less (1,360 kg or less)",YAMAHA,YAMAHA MOTOR CORPORATION,YZF-R3,2015,JAKARTA,,Supersport,,Motorcycle - Chain Drive,,MOTORCYCLE,,,,,,,,,,,,,,,Dual Overhead Cam (DOHC),6,In-Line,,,,,41.4,,INDONESIA,,,,,Not Applicable,,,Not Applicable,Not Applicable,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,Not Applicable,Not Applicable,,,,,Water,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,,,,,,,,6 - Incomplete VIN,,,,,MH3RH06Y*FA
476,1938,994,1D7HA18N96S6,,,,Extra/Super/Quad/Double/King/Extended,Pickup,8,,4700,286.811597,4.7,4,4x2,,,Magnum,,,Gasoline,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",DODGE,FCA US LLC,Ram,2006,WARREN,,Light Duty,,,1500,TRUCK,,,Hydraulic,,,,,,,,,,,,,,V-Shaped,,,,,,,UNITED STATES (USA),Dodge City Assembly,MICHIGAN,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1D7HA18N*6S
452,5185,966,WBABE5322SJA,,,Not Applicable,Not Applicable,Coupe,4,,1796.02221,109.6,1.79602221,2,,,,4-Value,,,Gasoline,,BMW,BMW AG,318iS,1995,REGENSBURG,,3-Series,,,,PASSENGER CAR,,,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,137,,GERMANY,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,Driver and Passenger Supplemental Restraint System (SRS),,,,,,,,,,,,,,,,6,,,BMW-AG,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,WBABE532*SJ
474,1864,988,5FNYF28767B0,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),6,,3474.05757,212,3.47405757,5,FWD/Front-Wheel Drive,,,J35Z1,,,Gasoline,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",HONDA,"AMERICAN HONDA MOTOR CO., INC.",Pilot,2007,LINCOLN,,,,Automatic,EX-L( with NAVI),MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,,,,,,,,Single Overhead Cam (SOHC),5,V-Shaped,,,,,244,,UNITED STATES (USA),,ALABAMA,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,5FNYF287*7B
472,1857,984,1GTHC23U97F1,,,,,Pickup,8,,6000,366.142465,6,4,4x2,,,LQ4,,,Gasoline,"Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)",GMC,GENERAL MOTORS LLC,Sierra,2007,FLINT,,2500 (3/4 Ton),,,,TRUCK,,,Hydraulic,,,,,,,,,,,,,,V-Shaped,,,Multipoint Fuel Injection (MPFI),,,,UNITED STATES (USA),GMNA,MICHIGAN,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,"MFI, Iron",,,,,,,,,,6,,,GM,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1GTHC23U*7F
476,3508,994,1B4HS28Y0WF1,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),8,,5200,317.323469,5.2,4,4WD/4-Wheel Drive/4x4,,,,,,Gasoline,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",DODGE,FCA US LLC,Durango,1998,NEWARK,,,,,Base,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,,,,,,,,,,V-Shaped,1st Row (Driver and Passenger),,,,,,UNITED STATES (USA),Newark Assembly,DELAWARE,,Manual,,,,,,,,,,,,,,,,,,L Series,,,,,Not Applicable,Not Applicable,,,,,,,,,,Sales Code:ELF,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1B4HS28Y*WF
566,10367,1132,4XAYN8EA6EA1,,,Not Applicable,Not Applicable,Off-road Vehicle - All Terrain Vehicle (ATV) (Motorcycle-style),2,,850,51.8701825,0.85,,4WD/4-Wheel Drive/4x4,,4,,,,Gasoline,"Class 1A: 3,000 lb or less (1,360 kg or less)",POLARIS,POLARIS INDUSTRIES INC.,Sportsman,2014,ROSEAU,,EPA Certified,,Motorcycle - Shaft Drive Off-Road,Military (HD),MOTORCYCLE,,,,,,,,,,,,,,,Single Overhead Cam (SOHC),,,,,,,,,UNITED STATES (USA),,MINNESOTA,,,Not Applicable,,,Not Applicable,Not Applicable,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,"6,10",,,,,Not Applicable,Not Applicable,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,,,,,,,,6 - Incomplete VIN; 10 - Off-road Vehicle Warning – This is not a vehicle identification number (VIN) for a motor vehicle. This indicates that the manufacturer did not certify this product as complying with the Federal motor vehicle safety standards which are applicable to motor vehicles as defined at 49 U.S.C. 30102.,,,,,4XAYN8EA*EA
